"Ticker","Nome","Negócios","Última (R$)","Variação"
"HOOT4","Hotéis Othon","10.100","3,82","-0,78%"
"CEDO4","Cedro Têxtil","3.200","16,95","+3,80%"
"PTNT3","Pettenati","2.000","9,29","-3,73%"
"EKTR4","Elektro","700","49,61","-0,58%"
"CTKA4","Karsten","700","31,00","-11,40%"
"FESA3","Ferbasa","700","11,14","-7,63%"
"CTSA4","Santanense","500","2,51","-3,83%"
"HAGA3","Haga","500","1,95","+0,00%"
"TKNO3","Tekno","400","180,00","+136,81%"
"EUCA3","Eucatex","300","18,85","-1,31%"
"AFLT3","Afluente T","300","7,48","+4,91%"
"FIEI3","Fica","200","14,29","+9,92%"
"BDLL4","Bardella","200","8,40","+5,00%"
"UNIP5","Unipar","100","54,78","-0,05%"
"SOND5","Sondotécnica","100","49,92","+11,03%"
"CBEE3","Ampla Energia","100","14,00","-5,34%"
"EQMA3B","Equatorial Maranhão","700","29,29","+0,48%"
"CEDO3","Cedro Têxtil","300","21,00","+0,00%"
"DTCY3","Dtcom","300","2,95","+0,00%"
"BRSR5","Banrisul","200","15,98","+2,44%"
"LUXM4","Trevisa","200","4,07","-0,49%"
"IGTI4","Iguatemi","100","10,00","+0,00%"
"IGTI4","Jereissati Participações","100","10,00","+0,00%"
"BDLL3","Bardella","100","8,81","-2,11%"
"PSVM11","PORTO VM","2.200","6,05","-12,57%"
"BMIN4","Banco Mercantil de Investimentos","400","16,75","-0,30%"
"BGIP3","Banese","200","35,51","+1,49%"
"RPAD5","Alfa Holdings","100","6,60","-7,69%"
"MAPT3","Cemepe","100","3,01","-1,31%"
"MAPT4","Cemepe","1.000","3,80","+0,00%"
"PEAB4","Participações Aliança da Bahia","700","38,00","-2,56%"
"EKTR3","Elektro","600","42,63","+0,02%"
"MRSA5B","MRS Logística","100","25,00","+13,53%"
"AHEB3","São Paulo Turismo","700","35,50","-0,84%"
"PATI3","Panatlântica","200","39,98","-0,05%"
"HBTS5","Habitasul","200","28,06","-3,51%"
"SOND6","Sondotécnica","100","45,01","+18,42%"
"PINE11","Banco Pine","100","8,83","-2,97%"
"PLAS3","Plascar","100","5,15","+0,98%"
"ESTR4","Estrela","1.800","3,49","-0,29%"
"MWET4","Wetzel","500","11,80","-2,48%"
"PATI4","Panatlântica","300","31,51","-4,89%"
"NORD3","Nordon","100","5,95","+0,85%"
"GSHP3","General Shopping & Outlets","100","4,30","+0,00%"
"EQPA6","Equatorial Energia Pará","1.000","7,10","-11,25%"
"BALM3","Baumer","100","21,00","+0,00%"
